epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.6653,0.64079,6.29866,0.00783,0.00426,0.98788,0.25876,0.24028,0.34102,7.38058,0.0087,0.00030009,0.00030009,0.00030009
2,57.1859,0.63497,5.42491,0.00824,0.00335,0.98788,0.22794,0.19901,0.5062,7.05336,0.01318,0.000608387,0.000608387,0.000608387
3,82.4384,0.7099,5.02995,0.00965,0.00336,0.98788,0.42811,0.32361,0.50543,6.64823,0.01234,0.000910459,0.000910459,0.000910459
4,108.307,0.77505,4.51835,0.01041,0.9305,0.2214,0.64342,0.54022,0.57479,5.78299,0.01436,0.00120631,0.00120631,0.00120631
5,133.911,0.87961,3.98687,0.01127,0.62018,0.71452,0.78553,0.6402,0.73007,4.76252,0.01894,0.00137241,0.00137241,0.00137241
6,159.526,0.80383,3.474,0.01027,0.56421,0.91076,0.82529,0.7005,0.65181,3.86899,0.016,0.00135826,0.00135826,0.00135826
7,185.233,0.84818,3.21816,0.01116,0.70488,0.80123,0.80441,0.69286,0.54113,3.49745,0.01351,0.00134412,0.00134412,0.00134412
8,210.552,0.77369,2.82794,0.01003,0.74744,0.79965,0.83195,0.6566,0.80664,3.19118,0.0195,0.00132997,0.00132997,0.00132997
9,235.863,0.80337,2.56834,0.01095,0.75572,0.71095,0.84091,0.70882,0.69072,2.78494,0.01781,0.00131582,0.00131582,0.00131582
10,261.41,0.83289,2.328,0.0105,0.78431,0.89814,0.87356,0.74391,0.65857,2.36225,0.01617,0.00130168,0.00130168,0.00130168
11,286.453,0.76564,2.08103,0.01002,0.81647,0.72269,0.8875,0.77478,0.55276,2.08681,0.01367,0.00128753,0.00128753,0.00128753
12,311.726,0.73993,1.90145,0.00969,0.831,0.8049,0.87731,0.76116,0.6473,1.80517,0.01612,0.00127338,0.00127338,0.00127338
13,338.392,0.72392,1.88573,0.00917,0.70507,0.85175,0.88294,0.73716,0.65118,1.72353,0.01543,0.00125923,0.00125923,0.00125923
14,366.094,0.73499,1.62571,0.00961,0.88787,0.88028,0.92633,0.77374,0.58504,1.53504,0.01444,0.00124509,0.00124509,0.00124509
15,393.638,0.70961,1.55226,0.00932,0.8566,0.78412,0.8941,0.77435,0.54724,1.48973,0.01324,0.00123094,0.00123094,0.00123094
16,419.808,0.72816,1.51751,0.00924,0.82069,0.84691,0.91311,0.79065,0.59585,1.41208,0.01565,0.00121679,0.00121679,0.00121679
17,446.26,0.66403,1.30519,0.00875,0.84127,0.91816,0.92659,0.77953,0.62889,1.19518,0.01663,0.00120265,0.00120265,0.00120265
18,472.615,0.71942,1.33609,0.00958,0.86935,0.89419,0.90646,0.78201,0.61634,1.0905,0.0151,0.0011885,0.0011885,0.0011885
19,497.754,0.71173,1.19237,0.00898,0.83547,0.8447,0.90716,0.80426,0.49424,1.16493,0.01269,0.00117435,0.00117435,0.00117435
20,523.478,0.70051,1.16988,0.00921,0.79626,0.77447,0.88033,0.78269,0.53942,1.05416,0.01397,0.00116021,0.00116021,0.00116021
21,550.323,0.67021,1.10963,0.00859,0.80955,0.88813,0.90314,0.77441,0.59855,1.01271,0.01516,0.00114606,0.00114606,0.00114606
22,577.458,0.67311,1.06001,0.00864,0.86855,0.82878,0.90124,0.78188,0.57206,1.00517,0.01512,0.00113191,0.00113191,0.00113191
23,603.151,0.66983,1.05321,0.00889,0.88433,0.74154,0.88849,0.78856,0.49052,0.96781,0.01219,0.00111776,0.00111776,0.00111776
24,629.055,0.62081,0.97144,0.00809,0.84736,0.90909,0.9139,0.81202,0.51267,0.92368,0.01266,0.00110362,0.00110362,0.00110362
25,656.656,0.65049,0.96921,0.00865,0.84075,0.81098,0.8771,0.73349,0.61182,1.01492,0.01655,0.00108947,0.00108947,0.00108947
26,682.993,0.68707,0.88336,0.00878,0.85384,0.88723,0.91472,0.78808,0.56126,0.8847,0.01458,0.00107532,0.00107532,0.00107532
27,708.575,0.63201,0.88815,0.00877,0.79784,0.88708,0.92312,0.81888,0.51254,0.75735,0.01211,0.00106118,0.00106118,0.00106118
28,734.374,0.65271,0.84558,0.0085,0.84691,0.87826,0.93123,0.79908,0.58477,0.78967,0.01514,0.00104703,0.00104703,0.00104703
29,759.893,0.6511,0.85447,0.00858,0.896,0.84388,0.91939,0.76535,0.54446,0.73826,0.01369,0.00103288,0.00103288,0.00103288
30,785.469,0.60513,0.78396,0.00812,0.91124,0.7952,0.92595,0.82575,0.54171,0.70087,0.01294,0.00101873,0.00101873,0.00101873
31,810.815,0.56135,0.79571,0.00719,0.91768,0.80361,0.91691,0.82782,0.49704,0.67783,0.0119,0.00100459,0.00100459,0.00100459
32,836.891,0.61036,0.75349,0.00829,0.86115,0.93695,0.94372,0.858,0.51865,0.61979,0.0135,0.00099044,0.00099044,0.00099044
